,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-12-01 00:00:00,11.160259,19.97175,25.765799,29.015581,31.293016,37.568176,35.291508,41.13596,28.306356,32.617428,29.225464,27.193935
2018-12-01 00:30:00,11.164434,12.965922,21.03065,26.380762,29.8674,31.963142,37.84202,35.835487,41.632236,29.132294,33.424747,30.116539
2018-12-01 01:00:00,5.003244,12.832932,14.597358,21.93256,27.358091,30.624777,32.570564,38.169724,36.139282,42.350483,29.904152,34.161564
2018-12-01 01:30:00,4.5797095,7.031083,14.393823,15.887163,23.117224,28.22765,31.313925,33.230606,38.47141,36.4604,43.015297,30.52017
2018-12-01 02:00:00,2.9847429,6.5631647,9.137759,15.651857,17.359947,24.163155,29.08083,32.03156,33.62683,38.81751,36.88687,43.51768
2018-12-01 02:30:00,5.5719085,5.054784,8.663131,10.75128,17.168814,18.63832,25.302546,29.954031,32.57073,33.98986,39.26546,36.90005
2018-12-01 03:00:00,4.6925178,7.44901,7.293304,10.27791,12.4984455,18.453287,20.190779,26.431719,30.597698,33.10928,34.500694,39.353745
2018-12-01 03:30:00,5.5345283,6.649411,9.441745,9.000048,12.075783,13.955255,20.05054,21.660751,27.204332,31.257717,33.751244,34.621246
2018-12-01 04:00:00,30.174555,7.4336786,8.74071,10.994217,10.864092,13.544028,15.885021,21.52106,22.588217,28.003826,31.970531,34.097923
2018-12-01 04:30:00,34.796165,30.466549,9.444922,10.356722,12.77359,12.373305,15.52191,17.638208,22.511358,23.569817,28.78214,32.451935
2018-12-01 05:00:00,51.807503,35.16688,30.294533,11.009684,12.156155,14.210097,14.440128,17.28429,18.696762,23.62804,24.402729,29.421474
2018-12-01 05:30:00,55.86422,51.129063,34.939896,30.462189,12.780819,13.613231,16.150278,16.274164,18.37618,19.89397,24.49822,25.245895
2018-12-01 06:00:00,66.656166,55.216076,49.84964,34.995422,31.367786,14.214698,15.589273,17.870737,17.383358,19.652435,20.762657,25.495064
2018-12-01 06:30:00,71.67399,65.23747,54.420067,49.034046,35.614407,32.07591,16.147722,17.355959,18.970406,18.691002,20.539274,21.815115
2018-12-01 07:00:00,73.63109,69.89854,64.032326,53.62715,48.9505,36.10083,32.747665,17.87547,18.451313,20.285667,19.577415,21.681185
2018-12-01 07:30:00,93.85283,71.70304,68.522964,62.747887,53.087532,48.803207,36.471336,33.367355,18.966127,19.750008,21.182589,20.740187
