,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-12-01 00:00:00,9.605215,18.009848,22.825916,26.23348,31.037827,39.59275,37.630886,42.66832,32.261677,35.05402,29.848667,28.58327
2018-12-01 00:30:00,10.629908,10.144444,17.541851,22.936821,26.468483,32.254585,40.001278,39.950974,44.43071,33.616512,34.347363,30.372396
2018-12-01 01:00:00,4.095674,10.35481,10.126727,17.937256,22.868992,28.080294,32.741417,42.33133,42.943737,45.847958,33.26911,35.135513
2018-12-01 01:30:00,3.9541795,5.1217356,10.743789,10.974541,17.50138,24.817429,29.063078,35.11563,44.84858,43.86051,45.31436,33.311035
2018-12-01 02:00:00,2.6388452,4.8945093,6.001552,11.433659,10.838806,20.077469,26.039553,31.391747,37.221733,45.979935,43.19997,46.206215
2018-12-01 02:30:00,6.2671714,4.1786585,6.2035594,7.345289,11.028643,13.6680155,21.664116,28.424517,33.30134,38.295486,45.211987,43.22169
2018-12-01 03:00:00,5.62507,7.8377886,5.691669,7.459566,7.7854743,14.135526,15.353104,24.276426,30.321808,34.74501,37.073986,45.283474
2018-12-01 03:30:00,6.304586,7.461419,9.228984,7.022291,8.592363,11.516721,15.594793,18.444038,26.21617,31.730906,34.660862,37.136375
2018-12-01 04:00:00,32.676476,8.035069,8.789058,10.450827,8.650164,12.053674,12.92207,18.21931,19.927212,27.8443,32.00569,34.974934
2018-12-01 04:30:00,36.805733,33.01473,9.1335745,10.089983,12.232143,12.008616,13.0473995,15.989985,19.075096,21.95692,28.50031,32.283257
2018-12-01 05:00:00,51.684593,38.891315,32.84406,10.321745,12.123932,15.33846,12.892582,15.830281,17.122808,21.41524,22.454855,28.616354
2018-12-01 05:30:00,55.37087,52.67058,38.649014,32.74916,12.243328,15.016488,16.125828,15.598643,16.734972,19.104246,22.044607,22.510456
2018-12-01 06:00:00,67.03206,56.14953,51.52325,39.161892,33.00964,14.974708,15.85504,18.494839,16.689724,18.856476,19.600103,22.550947
2018-12-01 06:30:00,75.18059,66.16276,54.61822,52.082684,39.5794,34.700848,15.9506645,18.295916,19.632757,18.564669,18.900764,19.759178
2018-12-01 07:00:00,77.625565,72.5835,64.056595,54.839054,52.640434,41.846573,35.160053,18.185123,19.666977,21.439734,18.266386,19.63169
2018-12-01 07:30:00,99.81467,74.20307,70.02651,63.247364,55.192894,54.219383,41.741726,35.577145,19.39773,21.35062,20.90417,18.900547
2018-12-01 08:00:00,81.45753,94.73287,70.841415,68.75498,63.01972,55.88386,53.111362,43.118313,36.49753,21.189922,20.647074,21.748857
2018-12-01 08:30:00,80.54621,78.09861,89.50603,68.89641,67.02546,62.968575,54.68187,54.813145,45.923412,38.204315,20.440086,21.055887
2018-12-01 09:00:00,86.170586,77.41107,75.91766,84.97211,65.772835,66.40735,61.20954,56.43034,57.253185,46.710354,37.500534,20.915316
2018-12-01 09:30:00,109.37157,82.91046,74.675354,74.39081,81.246445,64.48737,63.960358,62.483673,58.428593,57.859257,46.034637,38.888718
2018-12-01 10:00:00,111.71637,104.412476,78.97642,72.888,71.18128,78.63771,61.345776,64.776375,63.323437,59.318394,56.768486,45.954044
2018-12-01 10:30:00,104.39047,105.54648,98.41955,76.9254,70.485985,68.02554,74.9243,61.308426,63.84368,64.29168,56.991753,56.471584
2018-12-01 11:00:00,101.981445,99.70354,100.83479,94.569885,74.91644,68.61914,67.17376,72.09385,58.34275,64.252144,61.89681,56.470745
2018-12-01 11:30:00,103.50856,98.422035,96.87649,97.0713,92.77751,73.68541,66.93085,67.00884,68.69624,57.57271,61.85741,61.275757
2018-12-01 12:00:00,101.461266,100.40977,96.31573,93.75516,94.79177,91.13279,71.384155,66.068245,63.17178,66.74201,55.31896,60.38397
2018-12-01 12:30:00,70.49223,98.19156,97.76338,93.495834,91.39508,91.28967,88.804504,69.73438,63.82241,62.113758,64.50358,53.054356
2018-12-01 13:00:00,81.15568,73.467995,95.04347,95.30967,90.461494,87.73556,89.49136,84.312614,68.27125,62.395798,59.185696,63.951466
2018-12-01 13:30:00,85.774025,81.49166,76.33284,92.69486,91.54867,87.451355,87.37484,85.86843,83.12416,66.39219,59.047318,57.81752
2018-12-01 14:00:00,65.73383,84.52614,79.461845,75.138664,89.11338,89.3242,87.47859,85.168175,84.07206,80.94876,63.06644,57.32334
2018-12-01 14:30:00,63.906853,65.22823,80.607475,77.90393,73.16944,87.29647,89.17549,86.96581,83.91767,83.15287,78.11328,61.662014
2018-12-01 15:00:00,73.37839,62.000435,64.93462,78.933586,76.627655,73.114685,86.724205,89.463005,86.54814,84.32724,81.22807,78.29418
2018-12-01 15:30:00,81.571945,71.23082,60.63285,65.2704,78.100395,77.43368,74.36456,87.10064,89.16963,86.78098,82.26764,81.32817
2018-12-01 16:00:00,93.48558,78.467926,68.740036,59.896366,64.40354,78.87261,77.27445,77.26828,86.549385,88.7524,84.63906,81.54032
2018-12-01 16:30:00,90.31603,88.42512,74.60012,66.64467,57.306023,63.894867,77.55648,78.673065,77.041306,85.998886,86.77197,82.90163
2018-12-01 17:00:00,90.42681,85.75687,83.57516,72.38057,64.51459,56.095367,63.875565,77.81154,78.0014,76.928696,83.85033,84.59178
2018-12-01 17:30:00,89.77056,86.19981,80.970116,80.21214,70.16097,64.08861,54.210003,64.45617,77.1621,76.69263,73.30369,81.56745
2018-12-01 18:00:00,91.34115,85.82311,81.48845,78.305405,76.05328,69.68793,62.06067,53.719532,63.848186,75.56062,72.933525,71.51041
2018-12-01 18:30:00,95.25311,87.45202,81.46214,78.99924,74.76725,73.35211,66.65082,60.046787,51.30661,61.501022,72.5394,70.80067
2018-12-01 19:00:00,105.878746,91.18749,82.926125,79.16466,75.66461,72.37548,69.47109,64.63754,57.910095,48.86952,58.055786,69.876434
2018-12-01 19:30:00,103.34129,100.983604,86.12561,80.72139,76.73032,73.38901,69.29456,67.333374,62.19172,55.452366,45.411774,56.029476
2018-12-01 20:00:00,52.711304,98.298325,95.24063,83.750244,78.718605,74.74408,70.477936,68.26257,63.449947,59.47281,52.120525,43.56915
2018-12-01 20:30:00,43.547813,62.11409,94.12825,92.08748,81.67426,76.98055,72.20062,69.19209,64.98779,60.788406,56.33261,50.747814
2018-12-01 21:00:00,97.211006,58.305473,71.55923,91.41869,89.85767,79.82406,74.538506,70.84046,66.623085,63.7049,58.47109,55.029198
2018-12-01 21:30:00,73.52637,103.79528,69.58453,72.3666,89.29684,87.56965,77.294136,72.97066,69.110054,65.24164,61.12694,57.694645
2018-12-01 22:00:00,104.28983,81.34785,102.018135,69.37467,71.84135,85.95943,85.21025,75.29363,71.6707,67.8066,62.34715,59.675304
2018-12-01 22:30:00,113.66698,103.38393,88.82805,100.08473,70.1767,73.374115,84.80813,81.896355,74.00419,70.37192,64.5029,61.087917
2018-12-01 23:00:00,114.60497,108.189064,103.15949,88.70128,101.47071,76.20315,76.32302,82.28675,80.75651,72.51456,66.78646,63.239716
2018-12-01 23:30:00,96.50649,108.43453,104.81015,102.6463,89.83214,106.13427,81.884285,80.24163,81.170525,78.96969,69.089615,65.626915
2018-12-02 00:00:00,88.80505,94.73984,104.70671,102.339325,101.847046,93.268265,107.28836,86.8646,80.01846,80.38084,76.24132,68.26032
2018-12-02 00:30:00,78.29064,90.33285,94.9792,100.98698,100.30703,102.0765,98.687386,106.293884,87.44343,82.15258,77.80448,76.26314
2018-12-02 01:00:00,113.82811,82.08577,91.06473,91.7853,98.88532,98.30854,104.599976,99.47317,103.002266,88.27275,77.30907,77.59948
2018-12-02 01:30:00,106.45607,111.11411,83.10779,88.20225,89.25681,95.23878,97.618095,102.06435,98.79055,103.83969,84.111465,77.67986
2018-12-02 02:00:00,108.37982,101.65037,105.968124,80.682304,84.90324,85.91756,94.43299,95.21146,101.390884,97.57508,103.27752,82.3644
2018-12-02 02:30:00,113.46366,103.05769,99.56391,101.454636,77.70416,84.035385,87.15407,91.22584,94.6666,99.61331,98.9663,103.58951
2018-12-02 03:00:00,107.785065,108.33506,100.20774,97.19753,99.16101,78.98197,85.86117,87.14854,90.12752,93.34276,102.839806,96.64868
2018-12-02 03:30:00,92.55982,104.8691,105.002174,97.04662,95.73981,99.48786,81.30384,88.23991,86.87285,89.785736,94.43454,101.41727
2018-12-02 04:00:00,108.8423,92.6292,102.60983,101.082664,94.686264,92.107185,99.616165,84.85985,88.92164,87.347694,88.271614,93.5939
2018-12-02 04:30:00,120.38857,106.30395,92.47145,99.662186,97.78171,91.40051,92.84821,96.56978,85.932045,88.33688,85.66701,88.286964
2018-12-02 05:00:00,118.34013,115.83731,102.59514,90.031166,95.549416,95.001205,91.08788,89.95718,95.48154,84.23423,86.607346,84.26305
2018-12-02 05:30:00,114.00478,112.29015,110.672295,99.531525,86.16798,92.91487,94.13476,88.933426,88.89432,94.02802,82.952225,83.54215
2018-12-02 06:00:00,111.11469,109.93307,109.13189,107.07218,96.1751,84.15929,93.171196,92.33421,88.09199,88.02569,92.44046,78.370316
2018-12-02 06:30:00,97.800735,109.0688,108.40386,105.7867,103.88593,95.1872,85.592606,93.45821,91.76598,87.76863,86.70368,91.71521
2018-12-02 07:00:00,104.792244,99.29954,107.91562,104.38021,102.699875,102.43765,95.09593,87.55549,93.39417,92.082275,86.23259,86.39267
2018-12-02 07:30:00,101.49913,103.22474,99.893906,104.33993,100.837326,98.69565,101.653336,94.52695,87.90504,92.94699,90.546196,84.99229
2018-12-02 08:00:00,91.13154,98.66957,100.583435,96.62429,99.57029,97.09332,98.80152,99.194824,94.20662,87.26666,91.69191,89.04301
2018-12-02 08:30:00,92.27013,89.13916,95.72269,97.654144,91.779106,96.71957,97.562614,96.52186,98.444405,92.94305,85.56643,89.88313
