,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-12-01 00:00:00,8.369116,14.574418,18.2803,20.15233,32.028225,34.939114,40.178127,41.521435,30.585894,36.192413,30.481964,24.862673
2018-12-01 00:30:00,6.8253493,9.040456,14.170476,18.704834,20.454424,35.37318,36.50302,42.043247,42.409073,32.16506,37.16344,30.385817
2018-12-01 01:00:00,1.8400513,7.39779,9.968669,14.444138,18.815132,21.648233,37.12593,38.743214,42.63013,42.89896,33.086624,36.66059
2018-12-01 01:30:00,0.69149935,2.2275283,8.590011,11.260635,14.8443165,19.886011,21.11383,40.65239,38.872322,44.034527,45.84491,32.933
2018-12-01 02:00:00,-0.016405439,1.3829278,3.8038669,9.992796,12.330671,15.768193,19.738369,23.166075,41.149147,39.298115,45.43139,47.53199
2018-12-01 02:30:00,5.68638,0.5495308,3.2757258,5.235529,11.275383,13.818421,16.385183,21.602718,25.558533,41.05738,41.202423,45.463596
2018-12-01 03:00:00,5.267328,6.757409,2.345302,5.2892513,6.930734,12.976319,15.750309,18.434034,24.036259,28.063807,42.745525,41.276146
2018-12-01 03:30:00,5.544702,6.328309,8.991,4.173914,7.354898,9.353612,14.969273,17.35496,21.050802,26.203655,28.331396,41.306713
2018-12-01 04:00:00,26.648174,6.5402,8.43595,11.729868,6.104158,10.163762,11.530294,16.680555,19.109425,23.316175,26.529121,27.82708
2018-12-01 04:30:00,47.128525,29.538973,8.545623,10.877338,14.362156,8.953683,12.116217,13.727408,18.312899,20.636631,24.081057,26.002853
2018-12-01 05:00:00,48.214157,51.78634,33.218964,10.8526535,13.304783,16.597248,11.04344,14.141671,15.359872,19.779549,21.45295,23.520744
2018-12-01 05:30:00,43.274845,48.153862,54.76302,34.15925,13.151175,15.572347,17.81413,13.249917,15.200385,17.05386,20.516666,21.74676
2018-12-01 06:00:00,60.68162,43.556087,50.92922,55.121914,38.066017,15.33763,17.026218,18.812191,14.536136,16.667934,17.772448,20.785643
2018-12-01 06:30:00,67.086174,63.792694,44.81912,50.81769,60.550014,40.972145,16.850597,18.286509,18.958199,16.190657,16.964031,17.749294
2018-12-01 07:00:00,67.88102,65.97357,64.82131,46.642895,54.065495,62.9503,42.9013,18.15528,18.695044,19.690817,16.661123,16.83076
2018-12-01 07:30:00,94.083984,65.57219,65.950584,65.80223,53.72881,58.264553,68.590065,45.03368,18.708248,19.415003,19.392212,16.500662
2018-12-01 08:00:00,71.22205,88.38145,62.59778,64.13438,68.63716,59.43743,61.748302,71.982895,46.955452,19.504066,19.197813,19.407217
2018-12-01 08:30:00,77.884735,68.96536,82.72828,58.818745,62.62106,70.38297,66.3526,64.7502,76.685616,49.114616,19.39767,19.297716
2018-12-01 09:00:00,85.09926,75.74129,66.37677,75.015884,55.459297,61.61787,73.81553,69.03702,68.602325,81.17255,53.9257,19.526026
2018-12-01 09:30:00,107.83414,84.35182,73.10482,64.495575,72.39855,52.355354,61.452057,76.617584,75.46724,73.08091,82.34176,54.672447
2018-12-01 10:00:00,106.09469,104.26274,81.867805,71.05721,63.00721,73.04139,51.2497,61.419617,78.362625,82.02014,74.5443,78.44161
2018-12-01 10:30:00,99.24562,102.4145,96.82948,79.45902,69.53395,60.960068,71.96628,49.17139,58.63707,78.86424,81.24953,72.11552
2018-12-01 11:00:00,107.020905,96.415016,95.16987,95.9466,78.37556,68.093544,59.395515,71.22684,47.88231,57.03669,76.48258,76.41774
2018-12-01 11:30:00,104.65804,105.019905,92.30397,92.659454,96.288055,75.90562,67.01858,56.87408,66.34741,48.417374,55.35494,72.07074
2018-12-01 12:00:00,104.53743,102.755035,102.17445,87.83025,92.35594,94.06833,75.09788,64.99912,53.82487,61.22962,46.036224,53.06572
2018-12-01 12:30:00,62.526764,102.148605,100.432816,99.61519,86.05877,91.354935,96.1152,74.359,62.22264,51.62804,60.67551,43.403122
2018-12-01 13:00:00,85.60133,65.68522,99.80317,97.50187,95.96886,84.80828,93.51428,95.37415,74.59586,59.57137,47.78558,59.34539
2018-12-01 13:30:00,90.08497,85.855896,63.783424,96.682686,94.43592,91.82076,84.67738,92.580795,97.24879,75.330666,55.951836,43.548843
2018-12-01 14:00:00,75.10609,88.91125,84.28497,62.33342,94.01923,91.44864,90.28322,82.72502,92.28721,91.7214,73.80326,50.862587
2018-12-01 14:30:00,61.570812,74.883965,86.92791,82.5709,62.53813,91.24899,91.306076,88.82345,81.0475,87.02284,84.7299,68.37386
2018-12-01 15:00:00,67.89319,60.01777,73.79758,84.34963,80.683075,64.941956,91.49687,90.67782,90.31452,80.3098,83.45212,83.4664
2018-12-01 15:30:00,83.693245,66.00116,57.428513,72.39854,82.80663,78.870636,69.54285,90.421265,91.38789,93.24997,79.26888,83.09403
2018-12-01 16:00:00,89.712006,82.87333,63.504593,57.913242,72.906876,80.694244,79.34996,72.12422,90.68394,90.86027,89.587456,76.63585
2018-12-01 16:30:00,83.63784,86.4946,80.36319,63.458458,56.208286,71.40274,80.94695,80.45138,71.663414,89.612595,86.338745,84.553566
2018-12-01 17:00:00,88.30905,80.213066,83.46795,78.8699,61.316143,53.968925,71.35073,80.4436,81.161705,69.20023,85.006996,81.87031
2018-12-01 17:30:00,88.44758,85.25605,77.94662,78.53125,78.290306,59.36616,53.21141,72.06843,80.49429,79.894585,66.58956,81.47466
2018-12-01 18:00:00,91.37588,86.14525,82.56248,74.21729,77.47302,76.49175,58.851654,50.117085,71.28615,79.00602,76.613884,63.69905
2018-12-01 18:30:00,94.152374,89.09241,83.53274,78.406784,72.25284,76.60862,77.58833,56.396923,46.43542,70.02231,75.91239,71.613396
2018-12-01 19:00:00,103.43186,91.58412,86.64113,79.92224,76.95773,70.407486,75.84278,77.80932,53.09977,43.05526,67.60178,71.802536
2018-12-01 19:30:00,98.97795,100.233864,89.029366,83.288124,78.96148,75.23215,69.110344,75.130646,77.89256,50.540695,38.90919,63.754444
2018-12-01 20:00:00,45.243015,96.005196,95.776245,85.59119,82.22462,77.15969,73.63346,66.96212,72.26705,76.71859,46.310215,33.968678
2018-12-01 20:30:00,66.89172,45.4667,92.86245,92.019684,84.40275,80.167404,75.794426,71.92061,63.65016,69.23263,73.4741,41.367893
2018-12-01 21:00:00,108.50114,71.88599,45.681995,89.08697,90.55805,82.189514,79.701706,74.38589,69.751015,60.9712,67.19342,70.37072
2018-12-01 21:30:00,58.723507,106.065765,72.93832,45.729176,87.54749,88.93793,81.98557,78.304,72.86615,67.81174,57.379093,65.07189
2018-12-01 22:00:00,110.888504,54.905033,103.18338,69.578186,45.640152,85.423485,89.82338,80.43553,77.24243,71.195625,64.93142,52.501858
2018-12-01 22:30:00,99.99673,107.65982,36.112846,100.9205,68.02011,46.86283,85.48147,88.23733,79.564125,75.722084,68.682274,59.87959
2018-12-01 23:00:00,111.64457,99.870094,102.64611,38.96158,98.11149,70.09066,47.895874,83.6897,87.28799,78.42025,72.90894,63.732037
2018-12-01 23:30:00,97.12328,107.63228,86.65849,100.06846,51.692844,95.325424,75.06388,47.04658,82.706696,85.23681,75.497734,68.76301
2018-12-02 00:00:00,97.32937,95.59859,100.215706,76.49058,97.91341,51.709938,97.372375,78.07215,45.149727,81.91721,82.70448,71.74806
2018-12-02 00:30:00,72.024765,97.09543,92.238014,97.38368,70.73245,94.15264,48.65863,98.53149,76.97515,44.450123,79.420364,80.84936
2018-12-02 01:00:00,121.15086,76.44282,95.3485,89.25256,96.62697,75.56287,94.141975,52.73607,99.78668,73.678215,42.356377,76.35511
2018-12-02 01:30:00,102.23435,117.08466,76.2503,93.13924,87.26834,95.43633,78.01563,94.00136,49.04222,94.75146,71.85523,40.886036
2018-12-02 02:00:00,107.14482,99.5619,108.001366,72.88889,89.551926,83.97568,97.38757,80.91574,94.66783,47.15855,87.15964,68.97614
2018-12-02 02:30:00,120.56748,103.66816,92.99393,108.10995,71.31496,86.15624,82.475296,95.95384,79.62984,93.424774,45.99099,85.28787
2018-12-02 03:00:00,107.64201,116.6703,98.30538,92.94733,108.224625,73.32829,85.736336,80.72786,95.70011,76.74895,89.56584,40.639503
2018-12-02 03:30:00,97.16209,105.08851,113.34382,93.88274,93.09247,105.55451,78.88911,86.85058,81.3251,91.051674,84.36048,85.44417
2018-12-02 04:00:00,113.46014,95.80463,102.54505,111.46062,91.95356,90.62202,108.405556,83.161835,88.3386,84.221245,87.158875,90.04885
2018-12-02 04:30:00,120.48919,110.776,93.48984,99.256805,106.53298,90.9699,92.532364,108.0604,83.10086,88.2809,82.137314,86.87721
2018-12-02 05:00:00,115.90527,116.19809,108.23058,90.92985,96.296326,101.68772,92.16567,92.29272,111.60519,78.783264,83.93869,76.684784
2018-12-02 05:30:00,113.455086,111.708405,108.87597,104.76383,88.60383,93.350044,99.26858,90.46371,94.59458,103.911514,75.38676,78.4553
2018-12-02 06:00:00,111.09191,110.31304,104.84751,107.27393,101.03069,85.99106,93.35926,94.42013,88.670616,89.36609,93.31803,71.5235
2018-12-02 06:30:00,101.35634,109.509636,106.55577,102.7473,106.506165,97.59091,85.62623,92.11408,96.589195,86.35402,82.07448,92.834885
2018-12-02 07:00:00,111.19214,100.4879,106.990715,102.88151,101.95437,103.69426,97.53713,84.87881,92.513756,101.89192,85.067604,80.28953
2018-12-02 07:30:00,104.06419,108.71191,98.7234,104.30255,99.89019,99.51657,105.2624,96.77139,85.46478,92.03142,98.2698,84.283646
2018-12-02 08:00:00,95.43877,101.79739,106.42389,96.19817,100.07847,95.88412,100.843025,103.51137,97.55258,85.04692,87.355286,95.1396
2018-12-02 08:30:00,93.542755,93.66414,99.507095,103.10823,92.65628,96.10192,94.39623,98.84571,105.641785,97.25468,81.58846,83.59969
2018-12-02 09:00:00,94.79988,92.27278,91.33362,96.41637,99.51206,89.86003,95.22459,92.10554,100.05802,101.39444,91.804855,76.514305
2018-12-02 09:30:00,103.7314,93.08266,89.94789,88.643265,93.719604,96.42172,90.07551,94.953415,92.81972,96.57315,93.17212,87.882225
2018-12-02 10:00:00,93.515335,100.66055,90.8702,87.38923,86.88119,90.97695,96.64094,90.52536,96.56347,95.79928,90.15015,91.79818
2018-12-02 10:30:00,93.072845,90.97689,96.186264,88.02476,85.48557,84.46956,91.21603,96.04381,91.64482,97.628624,92.11267,88.74239
2018-12-02 11:00:00,91.7289,90.900696,88.438446,93.837105,86.214645,82.962,84.46998,90.30401,96.7427,90.1561,92.45718,87.13729
2018-12-02 11:30:00,94.55113,90.53497,88.082436,85.048584,92.92876,83.923805,82.58687,83.28121,90.62373,95.62495,85.20936,87.10904
2018-12-02 12:00:00,89.28384,92.75482,88.13327,84.888504,83.86968,90.538,84.07512,81.8269,83.36577,89.467575,90.14884,80.410095
2018-12-02 12:30:00,63.27897,87.74944,90.50802,85.61902,83.72529,81.636,91.44495,83.166855,82.21838,82.52187,84.89017,86.26754
2018-12-02 13:00:00,86.65132,63.892773,85.49645,87.69626,83.94804,81.42473,81.208755,89.9939,83.20401,81.94849,79.15846,81.183
2018-12-02 13:30:00,90.11644,85.51729,61.415974,82.81362,86.00092,81.45159,80.67929,79.65346,90.64509,82.11617,78.99611,75.092926
2018-12-02 14:00:00,88.340416,88.59564,83.35728,61.9912,81.77286,83.70752,80.94854,78.88807,78.66294,88.0216,78.76481,74.04694
2018-12-02 14:30:00,87.42983,86.89795,86.49898,80.90241,62.78536,79.57959,83.88093,80.08348,78.35552,77.43997,82.87296,74.78504
2018-12-02 15:00:00,91.461296,84.50054,83.70709,83.94321,80.00249,62.967754,79.40895,82.80386,80.4208,78.27298,74.515335,80.36395
2018-12-02 15:30:00,91.67497,88.84526,81.847305,82.01202,82.51326,77.88637,64.16337,78.24988,82.76431,80.41215,75.91437,70.52044
2018-12-02 16:00:00,39.526943,89.364,86.06742,77.77641,81.35216,80.232025,77.71686,63.854485,77.77993,81.69569,77.822365,71.33058
2018-12-02 16:30:00,40.565815,38.94137,86.96413,82.26547,76.234344,79.267296,80.67513,76.95753,62.142494,76.66643,78.36243,72.73977
2018-12-02 17:00:00,45.13517,68.7374,39.000156,83.6493,81.17093,74.493034,80.22708,80.064545,76.59277,60.635662,74.05332,74.56192
2018-12-02 17:30:00,43.655815,72.18317,81.368385,38.78658,82.537384,79.22732,72.928215,79.830315,79.98951,75.36627,57.652,69.7258
2018-12-02 18:00:00,28.909813,35.604866,85.654396,65.46002,39.667934,80.426094,78.057304,71.26908,79.99442,78.58338,73.0462,54.209717
2018-12-02 18:30:00,25.643696,23.555412,8.018706,68.818436,71.90061,39.510723,80.07148,76.45023,69.152275,78.38655,75.327065,68.22364
2018-12-02 19:00:00,17.581991,27.26985,5.476146,12.675074,74.72332,82.68824,39.36549,78.72933,75.11125,67.27871,74.76156,71.93847
2018-12-02 19:30:00,16.40763,18.250692,27.212616,12.980642,31.784134,85.52856,89.79596,38.69588,77.70779,73.904305,64.404236,71.71907
2018-12-02 20:00:00,3.0309656,17.671335,19.50813,28.980255,31.057295,49.002792,91.09927,88.472176,36.939026,76.15609,71.3446,59.260147
2018-12-02 20:30:00,-1.0976623,3.4210975,18.149956,21.087921,28.448643,62.112675,51.812458,87.799446,87.2797,36.079617,73.249214,66.723816
2018-12-02 21:00:00,96.37524,-0.7620155,4.9660296,19.257164,20.680914,28.61899,64.12783,57.707245,84.72268,71.775665,35.057487,69.24217
2018-12-02 21:30:00,70.94108,95.45467,0.8495211,6.346552,19.308353,22.120733,30.01865,65.18513,52.456017,69.88212,56.42043,34.241573
2018-12-02 22:00:00,78.95019,69.63341,92.98948,2.3286607,8.027166,20.755436,22.379204,31.063602,57.557804,54.180637,54.20723,51.82532
2018-12-02 22:30:00,76.449905,80.71593,68.225845,92.15774,4.0072,10.2501955,21.012894,24.047228,32.140247,51.1844,54.456615,47.33868
2018-12-02 23:00:00,58.828323,77.92861,83.13387,69.36148,89.14701,6.8945055,12.379486,22.654058,25.299992,33.8366,49.52819,48.248734
2018-12-02 23:30:00,67.033554,57.25809,76.930626,83.57864,69.42802,84.81374,9.22798,14.463208,24.662075,26.428926,34.717724,53.19527
2018-12-03 00:00:00,69.94869,64.90013,54.215767,73.78669,84.28117,66.46421,81.44674,11.746324,16.100203,26.374619,26.33768,34.511528
2018-12-03 00:30:00,79.47827,68.60771,62.035164,55.038044,71.95706,84.907104,64.43174,79.97266,13.451743,17.697247,26.552109,26.907444
2018-12-03 01:00:00,74.70959,78.25266,66.56879,61.709007,53.302113,70.87887,87.03493,65.266,83.05293,15.432129,18.41222,26.628397
2018-12-03 01:30:00,73.4016,71.633095,76.52161,65.72424,59.56158,51.4135,72.48963,89.33025,68.46668,87.409294,16.22255,18.461918
2018-12-03 02:00:00,73.89807,70.57504,68.822495,73.23237,63.918316,57.558464,50.94867,73.920494,92.371346,73.961334,86.30765,16.025578
2018-12-03 02:30:00,64.549805,71.3727,68.20582,65.12838,72.93133,62.104797,56.706596,47.702614,73.54811,92.92022,76.0393,78.11702
2018-12-03 03:00:00,31.551739,62.89338,69.169525,66.10161,62.957108,71.25929,61.453682,54.07207,44.548187,72.32125,88.17732,69.60182
2018-12-03 03:30:00,30.335142,29.177713,60.051125,67.39696,63.727398,60.49237,69.9097,59.26163,50.708313,41.24719,69.31996,85.21599
2018-12-03 04:00:00,27.940268,26.748663,27.574087,60.24681,65.07062,61.419388,57.846165,69.109634,55.87809,47.79825,37.241222,67.2368
2018-12-03 04:30:00,10.838423,33.99376,23.106539,27.169622,58.36427,62.989895,59.885307,55.60745,66.94815,53.253223,43.468918,32.481293
2018-12-03 05:00:00,0.26940313,19.119953,35.953983,20.343801,25.902332,56.520813,61.75804,57.43534,52.771408,64.66122,49.317764,38.328125
2018-12-03 05:30:00,21.874092,-0.7303001,23.60519,40.02721,18.279938,25.680782,55.678627,59.31855,54.07024,50.54103,61.903248,44.57531
2018-12-03 06:00:00,61.452934,24.272099,0.51359886,33.18195,40.273342,17.975481,23.600092,52.873257,55.850758,51.117897,46.381504,58.083412
2018-12-03 06:30:00,59.868633,61.782265,27.770607,1.4477786,41.54858,38.475605,16.747513,23.80162,49.27525,52.847034,46.83782,41.824867
2018-12-03 07:00:00,44.711624,59.418068,62.281876,29.25969,2.338758,42.13657,39.473133,17.008707,23.60982,46.397247,48.598343,41.856773
2018-12-03 07:30:00,59.32885,45.21881,59.41357,62.494835,31.926006,4.6932993,51.41404,39.80344,16.188335,23.17051,41.98387,43.536987
2018-12-03 08:00:00,65.20524,62.215435,46.366943,59.62869,63.593864,33.614292,7.233404,54.496754,40.9683,14.875561,21.972713,36.92612
2018-12-03 08:30:00,73.977264,61.774815,63.665558,48.16063,60.556377,62.99577,34.40478,9.3157625,50.69843,41.13552,14.569641,22.186403
2018-12-03 09:00:00,68.37584,70.03522,57.723312,60.93289,53.926636,59.897587,63.63097,36.176704,11.685729,57.269024,44.628925,13.988689
2018-12-03 09:30:00,67.80186,64.29472,64.74513,53.475475,59.403427,59.343964,60.63961,65.23304,37.780937,14.09791,53.28114,46.164547
